valid_time,u10,v10,d2m,t2m,msl,tp,latitude,longitude
2024-01-01 00:00:00,0.4265442,-1.9182892,281.3864,282.12256,101926.5,0.0,28.5,77.25
2024-01-01 01:00:00,0.16352844,-1.6143646,281.4889,282.39273,101944.06,0.0,28.5,77.25
2024-01-01 02:00:00,-0.024795532,-1.282074,281.50488,282.3913,102000.125,0.0,28.5,77.25
2024-01-01 03:00:00,-0.040115356,-1.0267487,280.99924,281.94867,102069.06,0.0,28.5,77.25
2024-01-01 04:00:00,0.041992188,-0.79748535,281.36884,281.50494,102119.31,0.0,28.5,77.25
2024-01-01 05:00:00,0.13531494,-0.7187195,281.42163,283.14667,102149.25,0.0,28.5,77.25
2024-01-01 06:00:00,-0.23164368,-0.436615,280.9313,284.5829,102071.69,0.0,28.5,77.25
2024-01-01 07:00:00,-0.15509033,-0.23431396,280.42847,285.2964,101980.19,0.0,28.5,77.25
2024-01-01 08:00:00,0.18281555,-0.5430908,280.44696,287.4829,101825.94,0.0,28.5,77.25
2024-01-01 09:00:00,0.454422,-1.034729,280.05695,288.10263,101751.56,0.0,28.5,77.25
2024-01-01 10:00:00,1.0605927,-1.2788391,281.52988,286.41626,101676.125,0.0,28.5,77.25
2024-01-01 11:00:00,0.85835266,-1.9205627,281.50497,286.3101,101676.06,0.0,28.5,77.25
2024-01-01 12:00:00,0.49684143,-1.665741,281.7883,285.71667,101710.94,0.0,28.5,77.25
2024-01-01 13:00:00,0.5621948,-1.8856354,281.84692,285.18973,101764.25,0.0,28.5,77.25
2024-01-01 14:00:00,0.8028717,-1.6271362,281.88348,284.36508,101860.06,0.0,28.5,77.25
2024-01-01 15:00:00,1.0851593,-1.5887299,281.28366,282.8098,101864.0,0.0,28.5,77.25
2024-01-01 16:00:00,1.523468,-1.486908,281.1116,282.49252,101919.06,0.0,28.5,77.25
2024-01-01 17:00:00,1.6127167,-1.3005219,280.7636,281.81857,101893.75,0.0,28.5,77.25
2024-01-01 18:00:00,1.493866,-1.2637634,280.66595,281.7145,101902.125,0.0,28.5,77.25
2024-01-01 19:00:00,1.2039185,-1.2370911,280.58405,281.62885,101861.81,0.0,28.5,77.25
2024-01-01 20:00:00,1.0849304,-1.3820496,280.43716,281.23096,101834.25,0.0,28.5,77.25
2024-01-01 21:00:00,1.0244751,-1.4614868,280.4107,281.24887,101839.56,0.0,28.5,77.25
2024-01-01 22:00:00,1.2165375,-1.4292297,280.16434,280.70563,101866.125,0.0,28.5,77.25
2024-01-01 23:00:00,1.1386566,-1.3062439,280.16025,280.6537,101809.94,0.0,28.5,77.25
2024-01-02 00:00:00,1.1102142,-1.4551392,280.3596,281.21405,101825.44,0.0,28.5,77.25
2024-01-02 01:00:00,0.9356384,-1.8859558,280.59656,281.32944,101866.875,0.0,28.5,77.25
2024-01-02 02:00:00,0.7103729,-2.3345642,280.50458,281.21558,101959.875,0.0,28.5,77.25
2024-01-02 03:00:00,0.31791687,-2.0414886,280.31427,281.2094,102013.0,0.0,28.5,77.25
2024-01-02 04:00:00,0.28437805,-1.1665802,280.61084,280.70935,102108.31,0.0,28.5,77.25
2024-01-02 05:00:00,0.3364563,-0.4521942,281.12775,281.7693,102113.875,0.0,28.5,77.25
2024-01-02 06:00:00,0.53471375,-0.24708557,281.16296,283.28046,102073.31,0.0,28.5,77.25
2024-01-02 07:00:00,0.31404114,-0.39393616,280.35855,284.1842,101941.94,0.0,28.5,77.25
2024-01-02 08:00:00,0.11198425,-0.56663513,280.02124,285.95316,101800.75,0.0,28.5,77.25
2024-01-02 09:00:00,-0.022460938,-0.8058777,279.79245,286.6125,101701.19,0.0,28.5,77.25
2024-01-02 10:00:00,0.014709473,-0.85569763,280.93903,285.65466,101694.0,0.0,28.5,77.25
2024-01-02 11:00:00,-0.2998352,-1.0958405,281.072,285.70956,101624.875,0.0,28.5,77.25
2024-01-02 12:00:00,-0.23692322,-1.6850739,281.37018,285.07993,101643.06,0.0,28.5,77.25
2024-01-02 13:00:00,0.23213196,-1.9296112,281.59875,284.3054,101697.06,0.0,28.5,77.25
2024-01-02 14:00:00,0.4441681,-1.8026123,281.5669,283.08124,101735.69,0.0,28.5,77.25
2024-01-02 15:00:00,0.9080353,-1.3923645,281.00278,281.50186,101763.19,0.0,28.5,77.25
2024-01-02 16:00:00,1.4258881,-1.141098,280.88248,281.36633,101819.875,0.0,28.5,77.25
2024-01-02 17:00:00,1.7055206,-1.2946014,280.74698,281.08716,101814.0,0.0,28.5,77.25
2024-01-02 18:00:00,1.57518,-1.6537933,280.6596,281.04236,101798.94,0.0,28.5,77.25
2024-01-02 19:00:00,1.1446991,-2.034256,280.35846,280.8356,101779.625,0.0,28.5,77.25
2024-01-02 20:00:00,0.53178406,-1.9575653,280.53552,281.03394,101776.06,0.0,28.5,77.25
2024-01-02 21:00:00,0.21099854,-1.834549,280.12103,280.7812,101786.375,0.0,28.5,77.25
2024-01-02 22:00:00,-0.008300781,-1.6957703,280.28607,280.61926,101783.25,0.0,28.5,77.25
2024-01-02 23:00:00,0.050460815,-1.6641693,280.17206,280.34283,101756.875,0.0,28.5,77.25
2024-01-03 00:00:00,0.04083252,-1.523529,279.9511,280.45718,101817.06,0.0,28.5,77.25
2024-01-03 01:00:00,-0.053649902,-1.2563324,279.90192,280.40027,101831.25,0.0,28.5,77.25
2024-01-03 02:00:00,-0.1942749,-0.9488983,279.9416,280.38287,101899.125,0.0,28.5,77.25
2024-01-03 03:00:00,-0.41870117,-0.5256195,280.0421,280.3645,101954.75,0.0,28.5,77.25
2024-01-03 04:00:00,-0.52993774,-0.108947754,280.43655,280.43576,102034.75,0.0,28.5,77.25
2024-01-03 05:00:00,-0.8813324,0.3497467,281.136,281.1357,102046.125,0.0,28.5,77.25
2024-01-03 06:00:00,-0.9781494,1.0250549,282.05902,283.52246,102040.875,0.0,28.5,77.25
2024-01-03 07:00:00,-0.58047485,0.8032074,281.88855,284.57465,101910.19,0.0,28.5,77.25
2024-01-03 08:00:00,-0.19236755,0.07121277,281.7882,287.20923,101802.25,0.0,28.5,77.25
2024-01-03 09:00:00,-0.07627869,-0.388031,281.51852,287.7164,101696.94,0.0,28.5,77.25
2024-01-03 10:00:00,0.76716614,-0.042114258,282.56073,286.15814,101622.94,0.0,28.5,77.25
2024-01-03 11:00:00,0.6863556,-0.7733307,282.44385,286.03894,101646.56,0.0,28.5,77.25
